beta,se,z,p
"[-0.03248605991603672, 0.2795436353004047]","[0.056097118387776354, 0.06659977148324052]","[-0.5791038978414885, 4.19736628331751]","[0.5625190701323711, 2.7003699897878544e-5]"
"[0.09496298578432785, 0.2959469911212729]","[0.07553761397192728, 0.08060185070325308]","[1.2571615754188343, 3.6717145889223173]","[0.2086951339526117, 0.00024092865960340405]"
"[0.09209556558066416, 0.2421265474707226]","[0.07022234338390491, 0.08057974032162155]","[1.3114852216933084, 3.0048067480028107]","[0.18969388336543536, 0.002657496388536359]"
"[-0.008890019359060053, 0.16663673596133857]","[0.07431745383218447, 0.07527691585544313]","[-0.11962222735906052, 2.2136498828052]","[0.9047824112701388, 0.026852873014272794]"
"[0.11763636087564476, 0.10631126484979252]","[0.07222895584590305, 0.08156938668029888]","[1.6286593028786984, 1.3033230869623473]","[0.10338516261778828, 0.1924644823835373]"
"[0.09592105484766092, 0.18678561572184824]","[0.060644527135218625, 0.07168228619955405]","[1.5816935077057572, 2.6057430032555278]","[0.11371955554077876, 0.00916752183269121]"
"[0.001678122293836328, 0.299722073477573]","[0.07900375316113914, 0.07902451041869386]","[0.02124104522494728, 3.79277355708453]","[0.9830533723048498, 0.00014897399433045857]"
"[0.06479662169870563, 0.22884158339336724]","[0.07786297369465414, 0.0770928816502383]","[0.832187863166012, 2.9683879820655257]","[0.40530291341783575, 0.002993661960061645]"
"[-0.04097397069068449, 0.3613854942512211]","[0.07564473007234379, 0.0717493935864322]","[-0.5416632546840806, 5.036774196786507]","[0.5880505076050702, 4.734427296733871e-7]"
"[0.001242906856035787, 0.29242502630493955]","[0.07449777755154684, 0.08336091424956278]","[0.01668381120733151, 3.5079392895030934]","[0.9866888621500709, 0.0004515920938205648]"
"[0.05053287699417889, 0.08470982886647874]","[0.05988854357361932, 0.07596559147450384]","[0.8437820320686248, 1.11510786952682]","[0.39879121781113336, 0.2648041996084817]"
"[0.02004410140480532, 0.3294158144482146]","[0.07187936130760098, 0.07704531041755136]","[0.2788575335140844, 4.275611489692587]","[0.7803541595721861, 1.9061338062380453e-5]"
"[-0.11208750185054689, 0.3235248881933572]","[0.05450289379430527, 0.06620232356660041]","[-2.0565422135853333, 4.88691137657558]","[0.03973028169931238, 1.0243017314433478e-6]"
"[-0.02841491423864559, 0.30705658121192686]","[0.05670699602820091, 0.06574275069987802]","[-0.5010830449300222, 4.670577028540678]","[0.6163126789132627, 3.003548266901231e-6]"
"[0.06914283932250181, 0.13004285888326447]","[0.06819187268848821, 0.08148752286761517]","[1.0139454541504935, 1.5958622167780512]","[0.31060878047682144, 0.11051955878614157]"
"[-0.07968042899994728, 0.3395274036160113]","[0.07615031494039588, 0.08563178729777335]","[-1.04635718266319, 3.9649692518427666]","[0.29539615351108756, 7.340540870078289e-5]"
"[-0.04459050365053521, 0.24985385157003465]","[0.06449107481024356, 0.06680898833723613]","[-0.6914213134412298, 3.7398239037662253]","[0.4893008139085902, 0.00018414921773233999]"
"[-0.0264969100732921, 0.21005892590309166]","[0.07834806870708122, 0.07576472115581996]","[-0.33819480825182446, 2.772516320241954]","[0.7352163880190437, 0.0055624730087994925]"
"[-0.015947191772066, 0.22004325575084338]","[0.06857823415931395, 0.07543619974304859]","[-0.23254013416296362, 2.9169451337733947]","[0.8161185188457468, 0.003534779452726216]"
"[0.05539485007701402, 0.18298861761316462]","[0.06006739672375987, 0.06667166166816829]","[0.9222116006086609, 2.7446236232106793]","[0.3564182132444717, 0.00605803325277043]"
"[0.15281132057124763, 0.17499770630128805]","[0.06512871159396236, 0.08643198652971781]","[2.3462973062315844, 2.0246868471676143]","[0.018960976183067187, 0.04289953005379564]"
"[-0.09859801001558198, 0.1874177524409286]","[0.06361742969969662, 0.07126924508707194]","[-1.549858434724724, 2.6297142927774]","[0.12117549794657098, 0.008545665400760426]"
"[0.14968845680648096, 0.1516473520967501]","[0.06086259439103392, 0.0739011880781644]","[2.4594491625636743, 2.052028607934618]","[0.013915040354270786, 0.040166882246977724]"
"[-0.07070014792270274, 0.24200464377939454]","[0.06846760834871284, 0.0726221800741062]","[-1.032607237609635, 3.3323792198532813]","[0.3017877397612284, 0.0008610683692279194]"
"[-0.0048237180404631505, 0.17995360232198804]","[0.05276976354704576, 0.06272226206910415]","[-0.09141064344854734, 2.8690547245206885]","[0.9271663049094586, 0.004117005602769579]"
"[0.14946789380280845, 0.13262542767037397]","[0.06824302325088638, 0.0688797135769899]","[2.190229662793655, 1.925464273630184]","[0.028507585005214813, 0.05417130135399025]"
"[0.0016833195425799232, 0.23013910718406302]","[0.06766507731131507, 0.07075190650686805]","[0.024877227802981253, 3.2527619190264914]","[0.9801528911929548, 0.0011428921193182206]"
"[0.003960911502958599, 0.40151871692815233]","[0.0712721168873676, 0.07909848669007198]","[0.055574489378757856, 5.076187089411773]","[0.9556807876144598, 3.8508413685413683e-7]"
"[0.09776902942882867, 0.20887258768072647]","[0.07407688612234543, 0.08585136620149215]","[1.3198317929745762, 2.432955897178211]","[0.18689118418827963, 0.014976124909416522]"
"[-0.1269726157650201, 0.30864308702649673]","[0.05896536478316996, 0.07630107854841685]","[-2.1533423261592533, 4.045068469519042]","[0.03129178463460361, 5.230783408160554e-5]"
"[0.11169964999570166, 0.3145948972488743]","[0.06851365618572856, 0.07632132279060516]","[1.6303268021911341, 4.121979097663119]","[0.10303244584184329, 3.756312911232294e-5]"
"[-0.08464500242181326, 0.34345198680231115]","[0.050673566814634266, 0.0607052067351207]","[-1.670397561147565, 5.657702284104218]","[0.09484073186638844, 1.534129516527206e-8]"
"[-0.00786614412131372, 0.20758269649980696]","[0.07550585123555405, 0.08068548373330986]","[-0.10417926548200711, 2.5727390714534364]","[0.9170270881732888, 0.010089724406841234]"
"[0.06495215787492116, 0.18452261610974902]","[0.08594613923351815, 0.08340985402815952]","[0.7557309549233417, 2.2122400076069355]","[0.4498105207547747, 0.02695008585144844]"
"[-0.00045187410828339625, 0.18053667888693303]","[0.0718989594409439, 0.07032118034120675]","[-0.006284849068706688, 2.567315821647867]","[0.9949854489730235, 0.010248921893837828]"
"[0.09621541699505488, 0.14725646336067244]","[0.07060732132190634, 0.07812157563041254]","[1.3626832911051603, 1.8849653526873549]","[0.17298234603031665, 0.05943451571510874]"
"[-0.03617407789399677, 0.21947649383837659]","[0.0706802559324889, 0.07693426150617104]","[-0.5117989092816653, 2.8527796269386685]","[0.6087917537952026, 0.004333866443542478]"
"[0.010559610358559804, 0.1433771835979473]","[0.07275268084005489, 0.07582018157732073]","[0.14514393472008086, 1.8910160938052165]","[0.8845972306519648, 0.05862219590595752]"
"[-0.05143603842378118, 0.3594829390109202]","[0.0718408170917559, 0.08967802448227104]","[-0.71597234700277, 4.008595651903421]","[0.4740084240723023, 6.108089808202031e-5]"
"[0.03333477663796848, 0.19324006430234564]","[0.08271745433283126, 0.08944988833082604]","[0.4029956785642716, 2.160316439833404]","[0.6869514035740755, 0.030748181156028943]"
"[-0.009922468430974267, 0.2506294961975205]","[0.06828237340563745, 0.08064665049280192]","[-0.14531522464851904, 3.1077483648237854]","[0.8844619947819097, 0.0018851850778951644]"
"[-0.06040410951049367, 0.30988000086410733]","[0.06894878381590262, 0.06987416570435248]","[-0.8760721533794745, 4.434829349880951]","[0.3809908099987102, 9.214525025561135e-6]"
"[-0.03694862964225794, 0.28112367957934015]","[0.0688471178865834, 0.08824167828027207]","[-0.5366764909916194, 3.1858378609531743]","[0.5914910976358664, 0.0014433546325359737]"
"[-0.10581291412942383, 0.26807348537071307]","[0.05339657956634407, 0.06317974534240801]","[-1.981642176123915, 4.243028899813793]","[0.0475193032051654, 2.205230240937313e-5]"
"[0.04112396294172052, 0.2065282303022279]","[0.07299697606026256, 0.07759098770388892]","[0.5633652948551003, 2.661755397294376]","[0.5731861643432804, 0.007773434412537426]"
"[-0.011434386560637852, 0.25793183685814647]","[0.08188731365866128, 0.08066696508359782]","[-0.13963562913177124, 3.197490281069125]","[0.8889478884164764, 0.0013862908278935125]"
"[-0.015393607367370261, 0.2384318415280875]","[0.06119535134306561, 0.06832202681688172]","[-0.2515486393904755, 3.4898238918926987]","[0.8013899619643443, 0.0004833389505884468]"
"[0.022941877722760795, 0.28064743886917987]","[0.06508385048565295, 0.08049926239203187]","[0.3524972408910885, 3.4863355331434622]","[0.724465387307648, 0.0004896863862650165]"
"[0.08458533185280423, 0.11305991692431987]","[0.057218048970372005, 0.06895826501656542]","[1.478298078576626, 1.639541205063094]","[0.1393280117527644, 0.10110059649042656]"
"[0.12056642548047407, 0.2050292254994742]","[0.079614475308563, 0.07868688994528295]","[1.5143781958392992, 2.6056338691495724]","[0.12992994615355313, 0.009170442990340085]"
"[0.026711122659364067, 0.20137661789877978]","[0.06864673915730281, 0.07904728147709639]","[0.3891098541207616, 2.5475464068568607]","[0.6971948842565661, 0.010848342319127275]"
"[0.0202904422406571, 0.2602191162218325]","[0.06452694782516044, 0.06797834484637394]","[0.31444912435088745, 3.8279707575980058]","[0.7531799509721396, 0.00012920410240427804]"
"[-0.0441017695885513, 0.2860113785424922]","[0.054797865535085234, 0.07127500602289899]","[-0.8048081646595233, 4.012786452106415]","[0.4209303894094366, 6.000619405136929e-5]"
"[0.06218584807528614, 0.16482613672057725]","[0.07567533343519776, 0.08050853037171533]","[0.8217452801649968, 2.0473127004003144]","[0.4112218826728081, 0.04062739169533998]"
"[0.0019213088060126612, 0.11242798557303973]","[0.07419177028677663, 0.08349426980439299]","[0.025896521926706207, 1.3465353471134185]","[0.9793398742181627, 0.1781299288534691]"
"[0.03445548577938181, 0.24560234394184358]","[0.06091129152731405, 0.0772170155092667]","[0.5656666426770998, 3.180676465181035]","[0.5716204153203884, 0.0014693162195328336]"
"[0.00910830532947967, 0.3896022841838731]","[0.06573406860088804, 0.07085766715969334]","[0.13856293278880688, 5.4983786483658665]","[0.8897955360303639, 3.832991790128059e-8]"
"[0.043958767597035465, 0.21173097459449397]","[0.07636323688782097, 0.07245714786900212]","[0.5756535394330091, 2.92215441570085]","[0.5648493848641533, 0.0034761915047064247]"
"[0.0035233572363908543, 0.24207977899523656]","[0.07687233689015277, 0.08544056003703483]","[0.045833877034668256, 2.833312175040816]","[0.9634426572050189, 0.0046068372100656636]"
"[0.04027285594258978, 0.21648704374359035]","[0.060631911061188044, 0.0683302147678239]","[0.6642188121358658, 3.1682476702170734]","[0.5065502748064308, 0.0015336081159549335]"
"[0.01051820474531509, 0.289502199244702]","[0.07874826480465406, 0.08489494144967896]","[0.13356744775782614, 3.4101230803757954]","[0.8937446264129467, 0.0006493356866791732]"
"[0.11084855332120118, 0.16179767175058857]","[0.06937105785215884, 0.08279737822545981]","[1.597907783926803, 1.9541400370191497]","[0.11006350149969148, 0.05068465833959116]"
"[-0.03227883042770382, 0.20594399676584377]","[0.06986980212278371, 0.062123960036517344]","[-0.46198542785307356, 3.3150494051697117]","[0.6440917704485818, 0.0009162692903058085]"
"[0.04824044489720939, 0.26981120754106197]","[0.06273005044772323, 0.06821163953150851]","[0.7690165168512193, 3.955500987722631]","[0.44188350543017096, 7.637443263906282e-5]"
"[0.04061059469469229, 0.19372115053323516]","[0.06708808512966524, 0.07974148439155011]","[0.6053324463830159, 2.4293647404657923]","[0.544958126728472, 0.015125307451644426]"
"[-0.024057960189994846, 0.1774763087773571]","[0.07020727857244462, 0.07235264880737059]","[-0.3426704563853763, 2.452934504856407]","[0.7318463908766077, 0.01416961353310845]"
"[0.16792806043565114, 0.10154205973785685]","[0.0710776721282088, 0.07749789786172336]","[2.3625993284184252, 1.3102556655024966]","[0.018147277640663925, 0.19010936009025078]"
"[-0.022418048477030696, 0.22130550871832969]","[0.08016160254482348, 0.09299132313614762]","[-0.2796606824881692, 2.379851165192247]","[0.7797378459157243, 0.017319631842207826]"
"[0.0594362883282236, 0.28980902597611286]","[0.06690001189978745, 0.08100342891151713]","[0.8884346450828126, 3.5777377559248924]","[0.3743069963400946, 0.00034658091763697176]"
"[-0.10667538171934368, 0.48971617293484876]","[0.07895846514986643, 0.08480373955779516]","[-1.3510316027150402, 5.774700213557199]","[0.1766853094934561, 7.709021489143112e-9]"
"[-0.030518824647862743, 0.2607006875636131]","[0.07167158692174079, 0.07488467251176203]","[-0.42581483065509174, 3.481362458020567]","[0.6702427793480026, 0.000498869918233911]"
"[0.00811008187200375, 0.24754146091694637]","[0.0696313388768257, 0.07449085647258158]","[0.11647172096389061, 3.3231120252733417]","[0.9072786969418916, 0.0008901915721940922]"
"[-0.026022037301381327, 0.3552239606626205]","[0.06277126349159022, 0.07214716886746264]","[-0.41455334581352865, 4.923602218060445]","[0.6784689074690413, 8.496546240502242e-7]"
"[0.012767220084553495, 0.14101430654870156]","[0.06459281695347942, 0.07588004643448074]","[0.1976569638346724, 1.8583845579280391]","[0.8433134632106634, 0.06311442359226652]"
"[0.1811485453977838, 0.09026602172251667]","[0.07292337919645707, 0.07209532111637408]","[2.4840942286802963, 1.2520371686369494]","[0.012988143495043156, 0.2105563205719904]"
"[-0.00609544117363541, 0.26061622035392146]","[0.06291475654431089, 0.07568814681698874]","[-0.09688412557620545, 3.443289752939549]","[0.9228184154508571, 0.000574683238517798]"
"[0.07272560849146684, 0.23709403907269996]","[0.05333530855699298, 0.07128574416616099]","[1.363554659363296, 3.325967089858163]","[0.17270777041437796, 0.0008811233143187111]"
"[0.021330146683136465, 0.2020207248003557]","[0.0658586827860289, 0.07728146801584022]","[0.3238775174480318, 2.6140901562448056]","[0.7460307658100309, 0.008946542530271172]"
"[0.08326704514463446, 0.19035478218257043]","[0.07920549516348077, 0.07505576138827179]","[1.051278638846593, 2.5361781515724555]","[0.2931306348950403, 0.01120697054051]"
"[0.08032264172303089, 0.22328225071721144]","[0.07167316032991086, 0.08251856475224419]","[1.1206795033636936, 2.7058426353827127]","[0.2624243098607498, 0.006813132294407868]"
"[-6.777993786451156e-5, 0.2578000207767134]","[0.0684963386976716, 0.07662061285762135]","[-0.0009895410346482593, 3.3646301062060786]","[0.9992104606150249, 0.0007664633773994806]"
"[0.044414702153800036, 0.18088461350830634]","[0.06953741313245221, 0.0711570927319433]","[0.6387166296968886, 2.542046148368074]","[0.5230072924129693, 0.01102056217128406]"
"[-0.15651980984331718, 0.28193087724961785]","[0.07015479486135116, 0.08722643796829847]","[-2.231063609446105, 3.232172307117283]","[0.02567691582824734, 0.0012285295229638347]"
"[-0.09360526823560712, 0.19211984295656848]","[0.06085746345212838, 0.06870523357768386]","[-1.538106633531297, 2.796291242345341]","[0.12402254432854054, 0.005169279419615251]"
"[0.09776682241536566, 0.17148530899138822]","[0.07786155227190203, 0.08844525871155345]","[1.2556495415600244, 1.9388863969594268]","[0.2092430610195974, 0.05251517270190009]"
"[0.06536389382861378, 0.19486565244150755]","[0.06173275186935035, 0.07153070550445893]","[1.0588203481832186, 2.7242238290150853]","[0.28968160480785154, 0.006445280932207309]"
"[0.040100418131927745, 0.15449928637985583]","[0.05640599168434209, 0.06485669441876812]","[0.7109247960099129, 2.382164058227844]","[0.47713083946860124, 0.017211227788854176]"
"[-0.06345361068156685, 0.40032565726200886]","[0.06612156115709496, 0.07822210082858601]","[-0.9596508244989943, 5.117807538041872]","[0.33723098046526323, 3.09107784419452e-7]"
"[-0.11759936313363702, 0.24642924391708515]","[0.06976718211905322, 0.0809816141884914]","[-1.6855971469932847, 3.0430270671500907]","[0.09187341911614892, 0.0023421126559752944]"
"[-0.049512263750589335, 0.2722866200422682]","[0.07024354271124737, 0.07293778385597342]","[-0.7048656978210959, 3.7331353606786153]","[0.480893818800686, 0.00018911089648211712]"
"[0.050035505133563155, 0.2768005253910121]","[0.060707671296861346, 0.08061814469417088]","[0.8242039937405744, 3.4334767494472773]","[0.4098236581749454, 0.0005958933081331325]"
"[-0.0632162965592346, 0.20923705269304033]","[0.07466520823991309, 0.08130384891935029]","[-0.8466633663715096, 2.5735196485051275]","[0.3971827833373605, 0.010066993059898399]"
"[-0.0474337872121372, 0.25069772081025943]","[0.06811945247824121, 0.08061796471641039]","[-0.696332478997663, 3.1097004457026194]","[0.4862206375626512, 0.0018727716657955227]"
"[0.04102364983641108, 0.20686887883417487]","[0.069954560675805, 0.07266113371144452]","[0.5864328135306242, 2.8470362113492858]","[0.5575846988337292, 0.004412834247541405]"
"[0.06733438173669613, 0.26085680039197917]","[0.06567365794577254, 0.06594569280524967]","[1.0252875177486667, 3.9556305998989125]","[0.30522754372447614, 7.633303349133624e-5]"
"[0.008517009286621708, 0.26759440373637694]","[0.061832757079159216, 0.06846765701752354]","[0.13774267376947313, 3.9083330055808556]","[0.8904437920361208, 9.293515132965428e-5]"
"[0.02186362607217904, 0.14010699637144092]","[0.055255804410030564, 0.06686246556348055]","[0.3956801698141625, 2.0954506417119867]","[0.6923409862978573, 0.036130951769915945]"
"[0.021605848206121867, 0.17251182892041955]","[0.07690359869696366, 0.07547418211543223]","[0.28094716726143165, 2.2857065036700277]","[0.7787509227061765, 0.02227143452814019]"
"[0.04308141606274692, 0.24258083617324455]","[0.06530468767198579, 0.07508586886376555]","[0.6596986770557339, 3.2307122477783254]","[0.5094472158209185, 0.0012348218580948277]"
"[0.04687488021312338, 0.19595522661745104]","[0.07135249050213423, 0.08187312153064984]","[0.6569480600221138, 2.393401191428785]","[0.5112143142614387, 0.01669297688810152]"
"[0.006354196249901259, 0.3188308884554127]","[0.05656542380160787, 0.07075848920316438]","[0.11233357452049429, 4.50590299546919]","[0.9105589216508321, 6.609127691663122e-6]"
"[-0.06822519119759429, 0.2684314408243308]","[0.0749378690735093, 0.07918808034541616]","[-0.910423421977341, 3.3897960356336516]","[0.3625992501811678, 0.000699446432311345]"
"[-0.04342927921721246, 0.37711694988222394]","[0.0683194107328735, 0.0764143351813154]","[-0.6356799444160813, 4.935159731317475]","[0.524985050933289, 8.008518966017454e-7]"
"[-0.034355440458532886, 0.14401226074729104]","[0.05827392878908598, 0.07329938842535168]","[-0.5895507849295251, 1.9647129920320354]","[0.5554918550523913, 0.04944746538606361]"
"[-0.027666070267056236, 0.13148778726765464]","[0.07182128699358134, 0.07883433188018682]","[-0.38520710815901626, 1.6679000650058284]","[0.7000839773986496, 0.09533556677902454]"
"[0.0355334402201065, 0.2439500160072837]","[0.07553222113489239, 0.0695775753248628]","[0.47044082229023315, 3.5061586275213408]","[0.6380401044273188, 0.0004546241906875419]"
"[0.038039067866907514, 0.2645411919069591]","[0.061603405290116514, 0.06168404234260831]","[0.6174832006082365, 4.28864876328358]","[0.536916058632535, 1.7976338106602698e-5]"
"[0.14715246506506624, 0.1302163495254746]","[0.07276991546203321, 0.07165681802528996]","[2.0221607257719185, 1.8172220468890639]","[0.04315975018218809, 0.06918312046923643]"
"[0.07441792456998265, 0.26301761470194324]","[0.07546504345093245, 0.07900716865135908]","[0.9861244513609717, 3.3290348102788117]","[0.32407204630774183, 0.0008714751145901607]"
"[0.014731424843627869, 0.17978769479534162]","[0.06225357195200716, 0.07580325977427599]","[0.236635816736503, 2.371767326770728]","[0.8129393314894368, 0.017703235008726496]"
"[-0.07351247321341883, 0.25819876568062416]","[0.07569758324672289, 0.07806470097985013]","[-0.9711336882951457, 3.307497017727254]","[0.33148170989929104, 0.0009413371415514835]"
"[0.043277072865221734, 0.2559646570903949]","[0.06399714153103807, 0.07131012346038997]","[0.6762344665696158, 3.5894574945249316]","[0.4988917927767421, 0.00033136685447388605]"
"[0.10708960320010692, 0.22602156685224292]","[0.062301654503084086, 0.06548737879900231]","[1.718888592193097, 3.4513759902646513]","[0.08563465975781373, 0.0005577359960122834]"
"[0.03730451208037129, 0.29258441249627354]","[0.07077731785599395, 0.0808515656626324]","[0.5270687447675311, 3.6187847458283526]","[0.5981458505268639, 0.00029598970267223325]"
"[-0.016662571158736553, 0.3671816891372857]","[0.07175823213041703, 0.07794245480269844]","[-0.23220431529658025, 4.7109330860409795]","[0.8163793262301172, 2.4658519494292603e-6]"
"[-0.06076003797176062, 0.30336939030983245]","[0.0662297950962198, 0.07940951781683339]","[-0.9174124407826927, 3.8203152298391565]","[0.35892655602741763, 0.00013328122032587678]"
"[0.02953830894089889, 0.24574134791354674]","[0.07200218895647151, 0.08211707917477301]","[0.41024181860298853, 2.992572926157368]","[0.6816285670813431, 0.0027663656574006047]"
"[-0.06552030045556932, 0.2586824759663832]","[0.06856418601928427, 0.0694984425878273]","[-0.9556053132044938, 3.7221334224789038]","[0.33927167615845366, 0.00019754658501035325]"
"[-0.09999353633903081, 0.21686697445225175]","[0.0677044394111096, 0.0769783540749028]","[-1.476912551211862, 2.817246186391984]","[0.13969908004569, 0.004843738207926244]"
"[0.11960137322885343, 0.14255074816493388]","[0.05068693901298768, 0.06816924324305237]","[2.3596093107577, 2.091129978613372]","[0.018294190280088076, 0.03651641402672272]"
"[0.11791769461287663, 0.2576768049810713]","[0.06499087221367357, 0.08197325681961778]","[1.814373166514723, 3.143425245968808]","[0.0696202940363069, 0.0016698306044469384]"
"[0.014416530381477633, 0.2593220288661946]","[0.05472623278333303, 0.06584510313523828]","[0.2634299795228772, 3.938364684972502]","[0.792219186055655, 8.203883880578778e-5]"
"[0.022066021604280724, 0.2527796540172153]","[0.07780216320232256, 0.06883796477320925]","[0.2836170704778297, 3.6720965654637356]","[0.7767038537349816, 0.00024056874099607454]"
"[0.02077282225000375, 0.2269493150059748]","[0.0809517735219436, 0.06880583245131179]","[0.25660737679048945, 3.2984022853959085]","[0.7974818797973837, 0.0009723671657734454]"
"[-0.15360072158847762, 0.2809887785949778]","[0.07243129802348039, 0.07382087917066256]","[-2.120640189806956, 3.8063591459724395]","[0.03395209329537353, 0.00014102754966637064]"
"[-0.011975699085901645, 0.38890309231097475]","[0.08109636237131763, 0.0801767121786166]","[-0.1476724570094557, 4.8505742096854965]","[0.8826012694026704, 1.23104563363844e-6]"
"[-0.011599347930652188, 0.13208678673442548]","[0.07278936503901401, 0.08074506901779664]","[-0.1593549816574868, 1.635849573740693]","[0.8733892050372404, 0.10187107382698311]"
"[-0.03101675450719056, 0.310783003874939]","[0.0624174090575011, 0.06426206346829087]","[-0.49692473583158253, 4.836181521439785]","[0.6192421274420764, 1.3235706246517134e-6]"
"[-0.09307800028460005, 0.3377695490800361]","[0.06786811820194416, 0.08027930610889175]","[-1.371453972064511, 4.2074298527428935]","[0.1702334825115758, 2.5829154259647034e-5]"
"[0.06127656835691132, 0.26183331554807115]","[0.06325739345558921, 0.07687318557838478]","[0.9686862674784639, 3.406042218467573]","[0.3327017462965561, 0.0006591198573048694]"
"[-0.006383398144486681, 0.26469939173864826]","[0.07863794612622935, 0.08188973697362072]","[-0.08117452780671654, 3.2323878610565857]","[0.9353031565166032, 0.0012276030750274817]"
"[0.04077527426368282, 0.09481165914217671]","[0.07883004574909173, 0.07579251451959544]","[0.5172554940975995, 1.2509369789765195]","[0.6049778178323236, 0.21095747104063672]"
"[0.06954768122933062, 0.1715782252607524]","[0.0816768976803402, 0.08285568858642749]","[0.8514975862761117, 2.07080803005792]","[0.3944930035671274, 0.038376739516750864]"
"[0.11580155761561822, 0.15668037256815218]","[0.07160032010187319, 0.06459094248293959]","[1.6173329595573784, 2.425732874381515]","[0.10580642836860782, 0.015277510671147444]"
"[-0.023033059651391, 0.28270147958494507]","[0.07194375737254437, 0.06511871187791271]","[-0.32015369355981155, 4.341324811752506]","[0.7488518243171601, 1.416261761159375e-5]"
"[-0.0625130669306874, 0.4475339299845112]","[0.062185970188844454, 0.0766185440935616]","[-1.0052599765003203, 5.841065440215253]","[0.3147716818720023, 5.186802348207435e-9]"
"[-0.0032515822464029578, 0.20878593096496803]","[0.06770858421385577, 0.07518012111061494]","[-0.04802319062133867, 2.777142785627793]","[0.9616977604837321, 0.005483908226363643]"
"[-0.01000099046558944, 0.20245096055395]","[0.06758921627365426, 0.07269983249689858]","[-0.14796725005802067, 2.784751403142321]","[0.8823686143562423, 0.005356877590297458]"
"[-0.036998280975793815, 0.32895331187168814]","[0.06276566735320108, 0.06111576806141692]","[-0.5894668619962803, 5.382462207479973]","[0.5555481355029028, 7.34738064366127e-8]"
"[-0.0672058439341805, 0.2721446375775849]","[0.0685805097051801, 0.08456537427064462]","[-0.9799554454041076, 3.218156839306453]","[0.32710811212975927, 0.0012901724919447202]"
"[0.048016042557750604, 0.23293326411722545]","[0.06810690257596888, 0.06658635779656628]","[0.705009929121234, 3.498213024789251]","[0.480804057112589, 0.0004683868549770451]"
"[0.05133590117131125, 0.2773054427228405]","[0.0714627101052565, 0.08305958732744669]","[0.7183592827042141, 3.338632560617191]","[0.4725357857943218, 0.0008419184883408494]"
"[0.10706523649816223, 0.26998902367191957]","[0.06467981149518565, 0.07167423248090278]","[1.655311511013471, 3.7668910335922567]","[0.09786132515626647, 0.0001652931016203953]"
"[0.15736381327775864, 0.20345898229704168]","[0.06861329356674654, 0.084950638200286]","[2.2934886972693738, 2.3950259422107165]","[0.02181988534602618, 0.016619189370129454]"
"[0.09859854910588593, 0.13332271462161496]","[0.06685883938187229, 0.07912881114998949]","[1.4747272016304154, 1.6848820636127133]","[0.1402858998610449, 0.0920113277751891]"
"[-0.01275126180297093, 0.39190316515626333]","[0.07016443969751324, 0.07395119300490538]","[-0.18173396463996647, 5.299484014142508]","[0.8557915098701571, 1.1613040296451921e-7]"
"[-0.11333974434860364, 0.3325546932892609]","[0.06625962879603212, 0.08122832847846984]","[-1.7105399835169446, 4.094072837869697]","[0.08716606632331475, 4.238610600981441e-5]"
"[0.018343095305894203, 0.1449349279405233]","[0.0728068895340433, 0.06833697101616651]","[0.25194175198649676, 2.1208860414114046]","[0.8010860868240702, 0.03393139360629377]"
"[-0.01562956062349157, 0.25468046438346653]","[0.060770712090397964, 0.07789683609641197]","[-0.257189032115375, 3.269458390688058]","[0.7970328504094908, 0.001077535839276262]"
"[0.02497922471065547, 0.2609339371300981]","[0.05754602188292886, 0.06286907135118024]","[0.43407387501907596, 4.150434092982664]","[0.6642347959946195, 3.318453140816185e-5]"
"[0.037376042826501685, 0.3286522347386218]","[0.07214163753242754, 0.07739023584128049]","[0.5180925205600055, 4.246688631530393]","[0.6043937184621143, 2.1695313192688023e-5]"
"[0.07584869111870968, -0.007568514039853011]","[0.05998219336429293, 0.07591957915130147]","[1.2645201328009785, -0.09969120119553858]","[0.20604339918837986, 0.920589486171471]"
"[-0.05250370448312874, 0.35315909610733176]","[0.06964236567523928, 0.07874308029729182]","[-0.7539046667077244, 4.484954040075542]","[0.4509064681972123, 7.2929652667539105e-6]"
"[0.08578832433468021, 0.18181380277396464]","[0.06618613002591991, 0.07596180259689841]","[1.2961677061505734, 2.3934898403976033]","[0.1949177128278835, 0.016688943517796283]"
"[-0.01467854376904247, 0.1660077939156173]","[0.07598749490979953, 0.07974048297721424]","[-0.19317051820785172, 2.0818508706932946]","[0.8468254269257095, 0.03735609348672103]"
"[0.06565995013084001, 0.337266256982369]","[0.06876245413449082, 0.0675964716180052]","[0.954880842420448, 4.989406235406728]","[0.33963795884828335, 6.056516274404082e-7]"
"[-0.04611644168074054, 0.31896192859071165]","[0.06294012891280254, 0.07056205410198436]","[-0.7327033242119732, 4.52030390342253]","[0.46373939604950154, 6.175092141459126e-6]"
"[0.10638948801404378, 0.21436467911593587]","[0.06975608518657828, 0.08439546098978341]","[1.5251642595693446, 2.540002466979664]","[0.12721813262650256, 0.011085168695099838]"
"[-0.026079812283908547, 0.34044209570185663]","[0.0648820847675925, 0.07753484263120763]","[-0.4019570637615358, 4.3908271965051915]","[0.6877156254640565, 1.129202560898186e-5]"
"[0.009782959068521092, 0.23096634600349375]","[0.08893762479640781, 0.0894928613520877]","[0.10999797994286245, 2.5808354154060775]","[0.9124109769661615, 0.009856155841161474]"
