beta,se,z,p
"[-0.025781971400741035, 0.284649728367745]","[0.07124069348851751, 0.07809912881402079]","[-0.36189950066806326, 3.6447234775894595]","[0.7174271330965415, 0.0002676794524216531]"
"[0.0425041889621411, 0.3461882979519391]","[0.0779869104678277, 0.07652817023397997]","[0.5450169612716681, 4.523671438811233]","[0.5857418522473313, 6.077604727295774e-6]"
"[0.042963307383720464, 0.23110834772418726]","[0.0652232442109733, 0.08067924416875352]","[0.6587115974291299, 2.8645328808582695]","[0.5100809842471979, 0.004176247944800412]"
"[0.08495934137738737, 0.23801379266561468]","[0.0658032093002305, 0.06784420473529298]","[1.291112428722983, 3.5082405873024904]","[0.19666469492841013, 0.00045108091697714696]"
"[-0.13711905098092148, 0.4371996917865005]","[0.06214719185218973, 0.0704448112530581]","[-2.206359561781071, 6.2062724565469125]","[0.027358834055556277, 5.425608296143082e-10]"
"[0.03643365142881484, 0.22590869210822861]","[0.060639034932104124, 0.07307490272134913]","[0.6008283520608236, 3.0914675722480087]","[0.5479543181561499, 0.001991697354547634]"
"[0.02657760140937501, 0.19991325124240458]","[0.0626089576313278, 0.07700955606918333]","[0.4245015795643323, 2.5959538198455245]","[0.6712000536039292, 0.00943287423298155]"
"[0.05648675309843883, 0.15658986060377633]","[0.06515201832426404, 0.07949158620175298]","[0.866999281853436, 1.969892262639529]","[0.38594240317819384, 0.04885071938877485]"
"[-0.02262026393200992, 0.3526639384912358]","[0.07280186670184638, 0.08607364387805932]","[-0.3107099440821925, 4.0972349095718]","[0.7560211369050427, 4.1811455029833816e-5]"
"[-0.0812211993208116, 0.30176459797233357]","[0.05578286327929249, 0.06594283105225171]","[-1.4560242079033299, 4.576154726102397]","[0.1453859276809233, 4.736003272056952e-6]"
"[-0.091153024134598, 0.27485794423893933]","[0.07291930758509572, 0.06623424197066943]","[-1.25005334188375, 4.149786214216129]","[0.21128006229077287, 3.327859402120588e-5]"
"[-0.043523922619088565, 0.3447384643131925]","[0.07875199793015879, 0.07719715341910917]","[-0.5526707101156692, 4.465688811627307]","[0.5804889132101992, 7.981154847473538e-6]"
"[0.0108206680296631, 0.23464355777206003]","[0.06220335867815154, 0.07857057411015353]","[0.1739563306484892, 2.986405030502857]","[0.8618997819796796, 0.002822784999829338]"
"[-0.009504826296619211, 0.23680416561412657]","[0.07657275793153286, 0.08494253985184474]","[-0.1241280391796506, 2.7878159285930955]","[0.9012138977823251, 0.00530646852789538]"
"[0.010181411963482396, 0.3322888983513191]","[0.06894737197315062, 0.08456121275628281]","[0.14766932621372755, 3.9295663758870387]","[0.8826037403274857, 8.509918416965075e-5]"
"[-0.12979169642326377, 0.3147829361016157]","[0.07959826301261066, 0.06981214524874146]","[-1.6305845317592045, 4.508999615755117]","[0.10297801523288218, 6.5134026843727785e-6]"
"[0.09480310457015656, 0.005632563295032245]","[0.06488153447846967, 0.07561241146475041]","[1.4611723556201661, 0.0744925758340359]","[0.14396814749085435, 0.9406184483815097]"
"[-0.045508060281529046, 0.2612264753154345]","[0.07160995969727081, 0.0755771328889094]","[-0.6354990349654316, 3.456422138947908]","[0.5251029959175035, 0.0005473973236423709]"
"[0.09106569045633855, 0.21748419841387337]","[0.06547060522618982, 0.0842496889833706]","[1.3909401042150453, 2.5814243475343974]","[0.16424359028575586, 0.00983935542022845]"
"[0.007710713924339285, 0.21760286693161732]","[0.07765252697975922, 0.07821415458347439]","[0.0992976561644819, 2.782141775877405]","[0.9209019393311308, 0.005400144398352635]"
"[0.06943992732705505, 0.20960340290119464]","[0.0677403484673387, 0.0792968202557561]","[1.0250896090464579, 2.6432762653680264]","[0.3053209079900613, 0.008210801026305111]"
"[0.011034035279043071, 0.36801515660251327]","[0.06691742167553444, 0.07285051035720146]","[0.1648903230692943, 5.051648297287928]","[0.8690303092143864, 4.3801366739067405e-7]"
